"title","source","publishedAt","sentiment","sentiment_score"
"Boulder terror attack: Colorado woman، 82، injured by Molotov cocktail dies، charges upgraded","Freerepublic.com","2025-07-01T07:19:50Z","negative","-0.8834"
"The Middle East’s End of Ideology","Foreign Policy","2025-07-01T07:12:13Z","neutral","0.0"
"Refugees escaping Sudan face escalating hunger and malnutrition as food aid risks major reductions","Globalsecurity.org","2025-07-01T06:47:44Z","negative","-0.4404"
"Funding shortages threaten relief for millions of Sudanese refugees: WFP","Globalsecurity.org","2025-07-01T06:47:12Z","neutral","-0.0258"
"Top diplomat reaffirms France's determination to recognize State of Palestine","Globalsecurity.org","2025-07-01T06:47:06Z","positive","0.5423"
"Trump demands an end to the war in Gaza – could a ceasefire be close?","The Conversation Africa","2025-07-01T06:40:22Z","negative","-0.5994"
"By miracle or by natural means?","Israelnationalnews.com","2025-07-01T06:30:33Z","positive","0.743"
"The Excuse of the “Iranian Nuclear Threat”","CounterPunch","2025-07-01T05:59:09Z","positive","0.0772"
"The Irish Independent’s View: Netanyahu must be stopped، and only the US has the power to do it","Independent.ie","2025-07-01T04:30:00Z","neutral","0.0"
"Ibn Battuta، a 14th-century Judge and Ambassador، travelled further than Marco Polo. The Rihla records his Adventures","Juancole.com","2025-07-01T04:06:31Z","positive","0.34"
"The Moment I Knew God Was Speaking to Me","Christianity.com","2025-07-01T04:00:00Z","positive","0.2732"
"How global conflicts are reshaping flight paths","The Week Magazine","2025-07-01T01:17:08Z","negative","-0.3818"
"Prime Minister Carney speaks with President of Egypt Abdel Fattah el-Sisi","Globalsecurity.org","2025-07-01T01:10:04Z","neutral","0.0"
"The Hoover Institution Briefing On National Security | May 2025","Hoover.org","2025-07-01T00:00:00Z","positive","0.34"
"Boosting Student Well-Being Over the Summer","Psychology Today","2025-06-30T23:59:58Z","positive","0.34"
"BRICS summit expected to denounce Pahalgam terror attack; call for fight against terrorism","Thehillstimes.in","2025-06-30T23:20:00Z","negative","-0.9442"
"Recent advances in the halogenated spirooxindoles as novel anticancer scaffolds: chemistry and bioactivity approach","Royal Society of Chemistry","2025-06-30T23:00:00Z","positive","0.3182"
"Israel pounds Gaza، killing 58، ahead of White House talks on ceasefire","Japan Today","2025-06-30T21:50:22Z","negative","-0.6597"
"Our Favorite Afropop Moments of 2025 So Far","Rolling Stone","2025-06-30T21:32:30Z","positive","0.4588"
"Bozdağ Film Platolari in İstanbul، Turkey","Atlas Obscura","2025-06-30T20:30:00Z","neutral","0.0"
"The Fungus That May Have Caused The ‘Curse Of King Tut’s Tomb’ Just Showed Promising Results In Treating Cancer","Allthatsinteresting.com","2025-06-30T19:45:37Z","negative","-0.4019"
"Now It’s Murder: First Victim of Illegal Immigrant’s Molotov Attack on Jewish Group Dies","Legalinsurrection.com","2025-06-30T19:32:36Z","negative","-0.926"
"Amazing Archaeological Discoveries (40 PICS)","Izismile.com","2025-06-30T18:53:35Z","positive","0.5859"
"82-Year-Old Jewish Woman Dies From Injuries Suffered in Anti-Semitic Colorado Terror Attack","Washington Free Beacon","2025-06-30T18:30:04Z","negative","-0.8658"
"Amman’s Pitching Platforms Titles Catches the Range، Depth and Nuance of New Titles from Emerging Arab World Talent","Variety","2025-06-30T17:55:00Z","positive","0.4215"
"At least 58 killed as Israel intensifies offensive in Gaza","ABC News (AU)","2025-06-30T17:46:27Z","negative","-0.8176"
"A Story About Farting 2 – Ancient Egypt’s Gassy Apocalypse is Coming","Gamedev.net","2025-06-30T17:36:46Z","neutral","0.0"
"The 10 Most Stylish Handheld Fans to Look and Feel Cool This Summer","WWD","2025-06-30T17:10:45Z","positive","0.3182"
"What’s Going On At HGTV? Another Series Got Canceled، And It’s The Fourth Time It’s Happened Recently","CinemaBlend","2025-06-30T16:57:24Z","neutral","0.0"
"Gabe's Reading List","Penny-arcade.com","2025-06-30T16:55:00Z","neutral","0.0"
"Scribble-based forecasting and AI 2027","Dynomight.net","2025-06-30T16:15:29Z","neutral","0.0"
"Israel kills 85 Palestinians، bombing across Gaza amid new ceasefire push","Al Jazeera English","2025-06-30T16:12:59Z","negative","-0.5423"
"The gay Wimbledon tennis star turned spy who was imprisoned by the Nazis","Thepinknews.com","2025-06-30T16:07:08Z","negative","-0.4588"
"The Iran-Israel War Is Over. But the Arab World Is Grappling With Its Consequences","Time","2025-06-30T16:03:20Z","negative","-0.3506"
"More than 100 Items in the British Royal Regalia Symbolize Power and Tradition Through the Ages","Discover Magazine","2025-06-30T16:00:00Z","neutral","0.0"
"Trump pressures Israel to end Gaza conflict as he eyes Abraham Accords expansion","Fox News","2025-06-30T15:55:58Z","negative","-0.5574"
"Today in History: July 15، discovery of the Rosetta Stone","seattlepi.com","2025-06-30T15:25:41Z","neutral","0.0"
"PM Oli holds bilateral meetings with Egyptian and Portuguese counterparts in Spain","Khabarhub.com","2025-06-30T15:14:49Z","neutral","0.0"
"Jennifer Lopez Gearing Up to Launch Overseas Run of Up All Night Tour","Billboard","2025-06-30T14:54:24Z","neutral","0.0"
"Air Cairo Sets New Benchmark for African Airlines: Enhances In-Flight Medical Safety with MedAire Partnership","GlobeNewswire","2025-06-30T14:38:00Z","positive","0.4215"
"Turkey-Libya Memorandum: Ankara’s influence over Libya’s warlords a double threat to Greece","Protothema.gr","2025-06-30T14:28:54Z","negative","-0.5267"
"Superior growth performance in carp fry achieved with chitosan-alginate encapsulated A-ghrelin versus free peptide: Evidence from physiological، molecular، and morphological analyses","Plos.org","2025-06-30T14:00:00Z","positive","0.8555"
"Interpretable machine learning for predicting isolated basal septal hypertrophy","Plos.org","2025-06-30T14:00:00Z","negative","-0.3182"
"Closing The Strait Of Hormuz Will Be A Nightmare Scenario For The Global Economy","Activistpost.com","2025-06-30T14:00:00Z","neutral","0.0"
"Here's Everything Coming to Disney+ Canada in July 2025","Exclaim!","2025-06-30T14:00:00Z","neutral","0.0"
"Knowledge and attitudes towards Alzheimer’s disease among adult residents in Jiulongpo، Chongqing، China: A cross-sectional survey","Plos.org","2025-06-30T14:00:00Z","neutral","0.0"
"‘Sinners’ and ‘The Studio’ Among Nominations for Location Managers Guild International Awards","Variety","2025-06-30T13:30:00Z","positive","0.4588"
"Location Managers Guild Reveals 2025 LMGI Awards Nominations","Deadline","2025-06-30T13:30:00Z","positive","0.4588"
